,short_name,Position,overall,value_eur
4953,S. Peña,CAM,70,2400000
4956,K. Zachariassen,CM,70,2400000
4961,A. Parmak,CDM,70,2200000
4970,Sergi Samper,CDM,70,2200000
4972,B. O'Neill,CM,70,2300000
4980,H. Aiesh,RM,70,2400000
4982,D. Rojas,CAM,70,2400000
4983,J. Pi,CDM,70,2100000
4986,A. Hjulsager,CM,70,2300000
4987,A. Zapata,LM,70,2400000
4991,Lee Chang Min,CM,70,2300000
4992,J. Fulton,CDM,70,2100000
4993,D. Rotariu,CAM,70,0
4995,Y. Bodiger,CDM,70,2200000
4998,N. Haas,CM,70,2300000
4999,T. Valls,CM,70,2300000
5001,F. Salazar,RM,70,2400000
5004,G. Hendrickx,CDM,70,2200000
5006,M. Pittón,CM,70,2300000
5008,Francisco Ramos,CM,70,2300000
5011,P. Erras,CDM,70,2200000
5017,A. Beghetto,LM,70,2400000
5023,M. Ullmann,LM,70,2400000
5024,E. Kılınç,LM,70,2400000
5026,J. Moreno,CDM,70,2100000
5027,E. Bello,RM,70,2400000
5032,D. Dąbrowski,CDM,70,2100000
5036,R. Murawski,CM,70,2300000
5037,B. McKay,LM,70,2300000
5038,Carlinhos,CAM,70,2300000
5040,Jhon Cley,CAM,70,2300000
5042,R. Andrich,CM,70,2300000
5044,J. Meffert,CDM,70,2100000
5046,M. Cavion,CM,70,2300000
5047,S. Asamoah,CDM,70,2100000
5048,S. Coopman,CAM,70,2300000
5050,C. Fuentes,CDM,70,2100000
5059,Borja Lasso,CAM,70,2300000
5060,S. Kaneko,RM,70,2300000
5069,Z. Kožulj,CM,70,2300000
5074,Edu Ramos,CDM,70,1900000
5078,D. Johnson,CM,70,2200000
5080,E. Kaçe,CM,70,2200000
5082,A. Trajkovski,CAM,70,2200000
5083,R. Schoofs,CM,70,2200000
5085,Eddy Silvestre,CDM,70,2000000
5087,M. Maddison,RM,70,2200000
5091,F. Schnellhardt,CM,70,2200000
5092,Aitor García,LM,70,2200000
5096,L. Capezzi,CM,70,2200000
5098,A. Ateef,CDM,70,2000000
5099,A. Traustason,CAM,70,2200000
5100,L. Garritano,CM,70,2200000
5102,A. Aseri,RM,70,2200000
5103,L. Pico,CDM,70,1900000
5105,G. Álvarez Suarez,CM,70,2200000
5106,Naranjo,LM,70,2300000
5109,J. Windass,CAM,70,2200000
5110,D. Holman,CAM,70,0
5111,Rochinha,RM,70,2300000
5113,A. Kara,CM,70,2200000
5115,Pol Llonch,CDM,70,2000000
5118,F. Deli,CM,70,2200000
5119,Bruno,LM,70,2200000
5123,A. Estupiñán,RM,70,2300000
5125,A. Meziane,LM,70,2200000
5126,M. Deletić,RM,70,2200000
5131,V. Ulloa,CDM,70,1900000
5132,S. Thern,CM,70,2100000
5139,M. Saymak,CAM,70,2100000
5141,J. Irvine,CAM,70,2100000
5142,C. Cisneros,LM,70,2200000
5144,J. Andersen,CM,70,2100000
5148,P. Schobesberger,LM,70,2200000
5149,Luis Rioja,LM,70,2200000
5151,R. Strieder,CDM,70,1900000
5153,Lucas Fernandes,RM,70,2200000
5157,M. Ljujić,CM,70,2100000
5158,J. Vuković,CDM,70,1900000
5160,F. Kroos,CDM,70,1800000
5163,N. Uysal,CDM,70,1800000
5168,S. Morsy,CDM,70,1800000
5174,K. Drygas,CM,70,2000000
5176,L. Ebecilio,CAM,70,2000000
5177,T. Antonis,CM,70,2100000
5178,F. Haugen,CM,70,2000000
5180,L. Tremolada,CAM,70,2000000
5183,Y. Sylla,CDM,70,1800000
5184,N. Foor,CM,70,2000000
5185,C. Battocchio,CM,70,2000000
5186,E. Andersen,LM,70,2100000
5189,M. Sax,RM,70,2100000
5191,Y. Stark,CDM,70,1800000
5192,L. Sadiku,CDM,70,1800000
5194,R. Improta,LM,70,2100000
5197,J. Osorio,CM,70,2000000
5199,A. Rocha,CM,70,2100000
5202,O. Benítez,RM,70,2100000
5208,Fabrício Baiano,CDM,70,1800000
5209,Iza Carcelén,RM,70,2100000
5212,R. Kurzawa,LM,70,2100000
5214,P. Anton,CDM,70,0
5215,G. Esparza,LM,70,2100000
5216,I. Rivero,CM,70,2000000
5219,K. Hashimoto,CM,70,2100000
5223,J. Stojanović,CAM,70,2000000
5224,C. Mandouki,CDM,70,1800000
5228,A. Morenzo,CAM,70,0
5230,C. Lendezo,LM,70,0
5232,K. Beckerman,CDM,70,375000
5233,A. Farnerud,CM,70,750000
5234,C. Brunt,CM,70,875000
5235,W. Routledge,RM,70,900000
5236,J. Valdés,CM,70,575000
5252,Dorca,CDM,70,375000
5256,W. Hoolahan,CAM,70,600000
5257,B. Johnson,CDM,70,1200000
5261,Zheng Zhi,CDM,70,375000
5263,C. Bryson,CM,70,1300000
5265,A. Baumjohann,CAM,70,1400000
5267,J. Hayes,LM,70,1600000
5268,G. Leadbitter,CDM,70,875000
5272,Pita,CDM,70,675000
5278,M. Izco,CM,70,575000
5280,M. Pugh,LM,70,1400000
5286,Adriano Mezavilla,CM,70,575000
5287,A. Ramírez,CM,70,575000
5288,Z. Kuzmanović,CM,70,1500000
5293,J. Maghoma,LM,70,1600000
5294,S. Hutchinson,CDM,70,1500000
5300,G. Dorrans,CM,70,1300000
5301,G. Peñalba,CDM,70,675000
5305,A. Bonnet,LM,70,1400000
5307,N. Viola,CM,70,1700000
5309,R. Fernández,CAM,70,900000
5310,P. Barrera,RM,70,1400000
5314,H. Kage,RM,70,1700000
5319,P. Ebert,CM,70,1300000
5320,A. Bodzek,CDM,70,875000
5321,I. Aissati,CAM,70,1700000
5322,R. Jenssen,CM,70,1500000
5323,M. Coutadeur,CDM,70,875000
5325,A. Rosi,RM,70,1400000
5326,M. Bruccini,CM,70,1000000
5329,W. Brama,CDM,70,1200000
5330,A. Luci,CM,70,875000
5331,L. Vitale,LM,70,1600000
5333,S. Napoleoni,LM,70,1100000
5336,C. Gülselam,CDM,70,1300000
5345,A. Power,CDM,70,1300000
5348,A. Guédioura,CDM,70,875000
5349,D. Di Gennaro,CM,70,1500000
5351,R. Tesche,CDM,70,1200000
5352,Y. Mollo,LM,70,1700000
5353,G. Bruno,RM,70,1900000
5357,R. Bianco,CM,70,1500000
5358,M. Mustacchio,RM,70,1700000
5364,H. Lansbury,CM,70,1800000
5366,R. Espinoza,CM,70,1300000
5368,J. Holland,CM,70,1600000
5370,A. Konradsen,CM,70,1800000
5373,Shin Hyung Min,CDM,70,1200000
5375,F. Sammaritano,LM,70,1100000
5376,T. Oar,LM,70,1900000
5378,J. Flum,CDM,70,1300000
5381,D. Fettouhi,CAM,70,1700000
5383,Fidel,RM,70,1700000
5384,A. Esswein,RM,70,1700000
5391,R. Gucher,CDM,70,1600000
5392,P. Coutts,CM,70,1600000
5394,D. de Buen,CDM,70,1600000
5396,G. Sertic,CDM,70,1500000
5397,Y. El Ghanassy,LM,70,1800000
5400,F. Zuculini,CM,70,1800000
5402,V. Pálsson,CDM,70,1600000
5403,M. Terrazzino,LM,70,1800000
5405,Rhayner,RM,70,1800000
5407,J. Isijara,RM,70,1700000
5410,Kwon Soon Hyung,CM,70,1000000
5413,G. Gardner,CM,70,1800000
5417,Y. Ngbakoto,LM,70,1900000
5418,A. Ajdarević,CM,70,1700000
5423,N. Colazo,LM,70,1800000
5430,Escassi,CDM,70,1500000
5431,M. Jacobs,LM,70,1900000
5434,A. Baby,LM,70,1700000
5436,G. Hairemans,CAM,70,1900000
5438,I. Paurević,CDM,70,1600000
5439,A. Stevanović,LM,70,1800000
5441,R. Rojas,CM,70,0
5442,R. Maiello,CM,70,1800000
5447,L. Mendoza,RM,70,1700000
5449,J. Corona,CM,70,1800000
5455,B. Dja Djédjé,CDM,70,1600000
5458,S. Çinaz,CDM,70,875000
5459,T. Kempe,CM,70,1600000
5461,A. Sepúlveda,LM,70,1800000
5462,Aridai,RM,70,1700000
5463,W. Sobota,LM,70,1400000
5464,R. Bonevacia,LM,70,1900000
5466,F. Jozefzoon,RM,70,1800000
5467,Soares,CDM,70,1500000
5468,B. Rienstra,CM,70,1700000
5475,D. Kaiser,CM,70,1600000
5476,S. Allan,CAM,70,1900000
5486,Kim Eun Sun,CDM,70,1300000
5487,E. Asante,RM,70,1700000
5489,D. Horgan,RM,70,1900000
5496,M. Falzerano,CM,70,1800000
5497,S. Diallo,CAM,70,1800000
5501,E. Gyasi,RM,70,1800000
5506,F. Kiss,CDM,70,1600000
5510,C. Jorquera,CM,70,1600000
5512,S. Lundevall,LM,70,1700000
5513,M. Stevanović,RM,70,1800000
5514,N. Bitton,CDM,70,1600000
5516,R. Robayo,CM,70,750000
5517,Felipe,CM,70,1800000
5518,Shim Dong Woon,LM,70,1700000
5522,F. Starzyński,CAM,70,1800000
5523,D. Blum,LM,70,1800000
5526,Y. Al Shehri,RM,70,1700000
5527,H. Al Moqahwi,CAM,70,1600000
5531,D. Sciaudone,CM,70,1600000
5532,S. Muwashar,LM,70,1700000
5533,M. Prietl,CDM,70,1600000
5534,José Mari,CDM,70,1300000
5537,R. Cardozo,LM,70,0
5538,T. Schütz,CDM,70,1300000
5539,M. Hartmann,CDM,70,1300000
5544,Jeong Jae Yong,CM,70,1800000
5546,B. Sarr,CDM,70,1600000
5551,R. Caroca,CDM,70,1500000
5553,A. Andrade,LM,70,1700000
5554,J. Blanco,LM,70,1900000
5558,E. Blanco,CDM,70,1500000
5567,M. Bogado,CDM,70,675000
5568,L. Desábato,CDM,70,1500000
5569,W. Camacho,RM,70,1100000
5570,F. Cerro,CM,70,1500000
5576,J. Domínguez,CDM,70,1200000
5579,Y. Cabrera,CAM,70,1800000
5583,H. Yamaguchi,CM,70,1800000
5584,M. Saito,RM,70,1700000
5586,C. Penilla,LM,70,1800000
5587,H. Arslan,CDM,70,1500000
5591,Y. Bammou,RM,70,1900000
5593,M. Gori,CM,70,1900000
5594,J. Sánchez,CDM,70,1300000
5595,Cai Huikang,CDM,70,1500000
5598,V. Malcorra,LM,70,1600000
5599,Ricardo Lopes,LM,70,1800000
5602,J. Berthomier,CAM,70,1700000
5604,P. Bartolomei,CM,70,1700000
5606,P. Rojas,RM,70,1900000
5610,Breno Bemposta,CDM,70,575000
5611,Marlinito Dias,CDM,70,575000
5620,Ansel Barnisco,CDM,70,1300000
5621,Alam Basteirinho,CAM,70,1900000
5622,Renaldo Justinho,CAM,70,775000
5623,Macarinho Louro,CAM,70,1600000
5625,Diogildo Peixe,CAM,70,1600000
5629,K. Shibasaki,CAM,70,900000
5633,Allan Ardaújo,CAM,70,1600000
5634,Assis,CDM,70,1600000
5636,J. Grimm,CDM,70,1200000
5637,M. Castagnetti,CM,70,1700000
5641,Luan Sendeiro,CDM,70,1600000
5642,Nilson Padilho,CAM,70,1600000
5648,M. Fouzair,RM,70,1900000
5649,F. Bradarić,CM,70,1800000
5652,G. Zarfino,CDM,70,1600000
5654,Corpas,RM,70,1900000
5656,J. Soraire,CM,70,1600000
5657,E. Sancero,LM,70,0
5658,A. Urzi,LM,69,2300000
5659,P. Pomykal,CAM,69,2300000
5661,A. Almendra,CM,69,2200000
5663,M. Caqueret,CM,69,2200000
5664,K. Jóźwiak,LM,69,2300000
5665,D. Turnbull,CM,69,2200000
5666,Domingos Quina,CAM,69,2300000
5668,L. Ferguson,CM,69,2200000
5670,Sancet,CM,69,2200000
5673,D. Arzani,RM,69,2300000
5674,B. Toma,CM,69,2300000
5680,J. Carrascal,CAM,69,2000000
5685,S. Kiyine,CM,69,2000000
5686,R. Baku,CM,69,2000000
5692,A. Rinomhota,CDM,69,1700000
5693,C. Connolly,CDM,69,1800000
5695,C. Martins,CDM,69,1700000
5696,S. Singh,CAM,69,1900000
5697,M. Smith,CM,69,1800000
5699,Z. Youssouf,CM,69,1800000
5700,V. Dragomir,CM,69,1900000
5701,Nacho Méndez,CM,69,1900000
5703,G. Lódico,CM,69,1900000
5704,Iñigo Vicente,CAM,69,1900000
5706,J. Onomah,CM,69,1800000
5708,J. Fuchs,CDM,69,1700000
5709,Pedro Pereira,RM,69,1800000
5713,F. Cassata,CM,69,1800000
5714,M. Aebischer,CM,69,1800000
5716,F. Coman,LM,69,1800000
5718,I. Diallo,CDM,69,1700000
5719,F. Muslija,LM,69,1800000
5722,Y. Fofana,CM,69,1800000
5725,A. Armstrong,LM,69,1700000
5726,Y. Leiva,RM,69,1700000
5732,A. Campbell,CM,69,1700000
5733,Lincoln,CAM,69,1700000
5734,Y. Eteki,CDM,69,1600000
5735,E. Ndoj,CM,69,1700000
5736,M. Edwards,RM,69,1700000
5737,Alex Pozo,LM,69,1700000
5740,A. Bassi,CAM,69,1700000
5741,Ander Guevara,CM,69,1700000
5742,N. Linares,CDM,69,1600000
5748,H. Boussefiane,RM,69,1700000
5749,I. Camará,CDM,69,1600000
5753,N. Giménez,CAM,69,1600000
5754,D. Burnić,CDM,69,1500000
5755,Christian Rivera,CDM,69,1500000
5757,D. Mancini,RM,69,1600000
5758,J. Piotrowski,CM,69,1600000
5759,J. Aribo,CM,69,1600000
5761,E. Ocansey,RM,69,1600000
5763,L. Amani,CM,69,1600000
5764,M. García,LM,69,1600000
5766,I. Mathew,CM,69,1600000
5770,Pêpê,CM,69,1600000
5772,J. Deminguet,CM,69,1600000
5773,Mauro Júnior,CAM,69,1600000
5775,F. Varela,CM,69,1600000
5777,Aguado,CM,69,1600000
5779,I. Baba,CDM,69,1500000
5780,Sori Mané,CDM,69,1500000
5785,L. Palmiero,CM,69,1500000
5787,J. Sambia,CM,69,1500000
5790,G. Suazo,CM,69,1500000
5791,J. Carreño,CM,69,1500000
5792,Nacho Gil,LM,69,1500000
5794,T. Pochettino,CM,69,1500000
5798,L. Maciel,CDM,69,1400000
5799,N. Hauptmann,CAM,69,1500000
5801,A. Iniestra,CM,69,1500000
5807,K. Bare,CM,69,1500000
5809,R. Kouamé,CDM,69,1400000
5810,J. Repas,LM,69,1500000
5812,G. Kharaishvili,CAM,69,1500000
5814,H. Vaca,LM,69,0
5819,J. Vanlerberghe,CDM,69,1300000
5825,H. Sakhi,CAM,69,1500000
5826,S. Marreh,CDM,69,1300000
5827,Mula,LM,69,1500000
5828,N. Eliasson,LM,69,1500000
5829,R. Niyaz,CM,69,1500000
5831,B. Whiteman,CDM,69,1300000
5832,Kike Barja,LM,69,1500000
5833,Javi Muñoz,CM,69,1500000
5837,D. Wouters,CDM,69,1300000
5838,B. Van Durmen,CDM,69,1300000
5839,Undabarrena,CDM,69,1300000
5841,G. Aburjania,CDM,69,1300000
5842,B. Atik,CAM,69,1500000
5845,I. Sackey,CDM,69,1300000
5848,V. Janjičić,CDM,69,1400000
5849,C. Oliveira Souza,RM,69,1500000
5850,L. Wing,CM,69,1500000
5855,Guga Rodrigues,CM,69,1500000
5860,H. Ongenda,CAM,69,1400000
5861,D. Holmes,CAM,69,1400000
5862,F. Bahlouli,CAM,69,1400000
5868,J. Byrne,RM,69,1400000
5869,J. Narváez,LM,69,1400000
5871,J. Minala,CM,69,1400000
5872,H. Fertoli,LM,69,1400000
5873,L. Morosini,CAM,69,1400000
5874,Wei Shihao,LM,69,1400000
5877,R. Neudecker,CAM,69,1400000
5881,J. Hromada,CDM,69,1300000
5883,D. Ivan,RM,69,1400000
5884,L. Caicedo,CDM,69,1300000
5885,Lee Seung Woo,CAM,69,1500000
5887,T. Kida,CDM,69,1300000
5888,K. Misao,CM,69,1400000
5896,Cris Salvador,CDM,69,1300000
5899,Dani Ojeda,LM,69,1400000
5900,H. Morita,CDM,69,1300000
5902,Óscar Valentín,CDM,69,1300000
5904,D. Valdez,CDM,69,1300000
5905,N. Dunga,CDM,69,0
5911,B. Başaçıkoğlu,LM,69,1400000
5913,J. Radošević,CDM,69,1300000
5914,E. López,RM,69,1400000
5922,A. Barberis,CM,69,1400000
5925,A. El Messaoudi,CM,69,1400000
5927,P. Seguin,CDM,69,1300000
5932,C. Rodríguez,CAM,69,1400000
5942,J. Amoah,CM,69,1400000
5944,M. Osman,CM,69,1400000
5950,Benito,LM,69,1400000
5952,P. Förster,CAM,69,1400000
5954,I. Ljubić,CM,69,1400000
5956,A. Gholizadeh,RM,69,1400000
5958,C. Albanis,LM,69,1400000
5961,I. Vînă,CAM,69,1400000
5962,J. Williams,CAM,69,1400000
5967,M. Valoti,CM,69,1300000
5968,C. Şahin,RM,69,1400000
5975,M. Ricci,CM,69,1300000
5979,B. Halimi,CM,69,1300000
5981,R. Klingenburg,CM,69,1300000
5982,J. Cevallos,CAM,69,1400000
5983,L. Evans,CDM,69,1200000
5984,R. González,CM,69,1300000
5987,S. Gustafson,CM,69,1300000
5995,D. Nagy,LM,69,1400000
5996,Park Yong Woo,CM,69,1300000
6000,R. Krauße,CDM,69,1200000
6004,Walterson,LM,69,1400000
6009,R. Ibarra,LM,69,1400000
6015,E. Hussain,CM,69,1300000
6016,C. Fierro,RM,69,1300000
6020,G. Thorne,CDM,69,1200000
6023,J. Scowen,CDM,69,1200000
6024,A. O'Brien,LM,69,1300000
6025,R. Wolski,CAM,69,1300000
6028,Gus Ledes,CM,69,1300000
6032,L. Nangis,RM,69,1300000
6034,W. Zahibo,CDM,69,1200000
6035,J. Walker,CAM,69,1300000
6040,T. Eisfeld,CAM,69,1300000
6043,B. Touré,CDM,69,1200000
6046,M. Duffy,LM,69,1300000
6048,J. Lowe,RM,69,1300000
6049,M. Konczkowski,RM,69,1300000
6050,N. Storm,RM,69,1300000
6052,A. Ghazal,CDM,69,0
6056,S. Martínez,CDM,69,1200000
6057,M. Laba,CDM,69,1200000
6058,H. Manzala,LM,69,1300000
6059,J. Cavallaro,LM,69,1300000
6060,M. Gómez,LM,69,1300000
6065,Y. Moreno,LM,69,1300000
6068,D. Kolovos,CAM,69,1300000
6069,D. Agazzi,CM,69,1300000
6070,T. Mauricio,RM,69,1300000
6071,Q. Cornette,RM,69,1300000
6072,F. Álvarez,CAM,69,1300000
6073,Kim Jong Woo,CM,69,1300000
6078,G. Notsuda,CAM,69,1300000
6082,J. Kouffaty,CAM,69,1300000
6083,D. Flores,CAM,69,1300000
6084,I. Atiemwen,CAM,69,1300000
6085,G. Chaalali,CAM,69,1300000
6086,G. Robail,LM,69,1300000
6087,Jesús Jiménez,LM,69,1300000
6088,A. Paločević,CM,69,1300000
6090,A. Artean,CDM,69,1200000
6093,M. Ritzmaier,CM,69,1200000
6097,Muralha,CDM,69,1100000
6102,Oriol Rosell,CDM,69,1100000
6107,Ewerton,CM,69,1200000
6109,A. Ngando,CAM,69,1300000
6110,D. Furman,CDM,69,1100000
6115,E. Flores,LM,69,1300000
6128,B. Bahn,CAM,69,1300000
6152,L. Bacuna,CDM,69,1100000
6155,Renato Neto,CM,69,1200000
6159,A. Merkel,CM,69,1200000
6161,T. Bruns,CM,69,1200000
6163,R. Boateng,CM,69,1200000
6174,N. Thomsen,LM,69,1200000
6176,M. Barrow,LM,69,1200000
6177,J. Gyau,LM,69,1200000
6184,C. Valenzuela,CAM,69,1200000
6185,J. Villota,CAM,69,1200000
6186,C. Sepúlveda,CDM,69,1100000
6190,Álvaro Peña,CAM,69,1200000
6193,J. Mendoza,LM,69,1200000
6195,F. Zampano,RM,69,1200000
6198,I. Bel Hassani,CAM,69,1200000
6200,J. Bègue,RM,69,1200000
6202,P. Twumasi,RM,69,1200000
6203,Wu Xinghan,LM,69,1200000
6206,Eguaras,CM,69,1200000
6209,L. Paganini,RM,69,1200000
6210,S. Bolbat,LM,69,1200000
6211,V. Fındıklı,CDM,69,1000000
6214,Señé,CAM,69,1200000
6215,H. Faik,CM,69,1200000
6218,K. Bua,LM,69,1200000
6220,D. Cataño,CAM,69,1200000
6221,Borja Galán,LM,69,1200000
6225,R. Shirasaki,LM,69,1200000
6226,F. Matei,LM,69,1200000
6229,E. Aguilar,CM,69,1200000
6230,M. Bülter,RM,69,1200000
6232,F. Balmont,CM,69,260000
6233,S. Downing,RM,69,525000
6234,C. Burke,RM,69,450000
6239,D. Croce,CM,69,325000
6244,Luíz Carlos,CDM,69,500000
6257,A. Pérez,CDM,69,230000
6261,R. Lamah,LM,69,925000
6262,G. Whelan,CDM,69,325000
6267,W. Johnson,CDM,69,700000
6269,T. Sparv,CM,69,800000
6275,D. Milićević,CAM,69,650000
6278,K. Lee,CM,69,900000
6279,L. Bridcutt,CDM,69,875000
6281,V. Basha,CDM,69,925000
6283,José Semedo,CDM,69,400000
6286,T. Jodłowiec,CDM,69,500000
6287,L. Tomlin,CAM,69,1000000
6288,M. Scozzarella,CM,69,900000
6290,N. Dyer,RM,69,925000
6291,C. Leitgeb,CM,69,500000
6292,R. Gíslason,RM,69,925000
6295,B. Bjarnason,CM,69,0
6299,B. Nehrig,CDM,69,700000
6303,A. Karabulut,LM,69,925000
6305,A. Djoum,CM,69,975000
6308,G. Boyd,LM,69,650000
6313,Huang Bowen,CDM,69,800000
6316,Zhang Chengdong,RM,69,1000000
6324,G. Mandjeck,CDM,69,875000
6342,Charles,CDM,69,400000
6345,C. Evans,CDM,69,925000
6346,A. King,CM,69,975000
6350,N. McGinn,LM,69,925000
6351,F. Acuña,RM,69,925000
6358,C. Carmona,CDM,69,700000
6361,A. Kashi,CDM,69,875000
6363,A. Shinnie,CM,69,1000000
6369,K. Smith,CM,69,1000000
6373,Marc Pedraza,CDM,69,700000
6379,K. Hyland,CDM,69,875000
6384,M. D'Alessandro,LM,69,1100000
6386,J. Chibuike,CAM,69,1000000
6388,M. Abubakari,CDM,69,500000
6389,M. Rojas,CAM,69,1100000
6398,Juan Dominguez,CM,69,1000000
6399,D. Blacha,CM,69,1000000
6404,J. Greguš,CM,69,1000000
6406,F. Ulvestad,CM,69,1100000
6407,Javi Ros,CM,69,1000000
6410,Toribio,CDM,69,875000
6411,D. Davis,CM,69,1000000
6413,R. Millar,CM,69,325000
6416,C. Diandy,CDM,69,925000
6417,S. Bertram,LM,69,1100000
6418,C. Fandrich,CM,69,1000000
6422,M. Pereira,RM,69,925000
6424,G. Grozav,LM,69,0
6426,Aguilera,CDM,69,500000
6430,A. Kolomeytsev,CDM,69,875000
6431,I. Cofie,CM,69,1100000
6433,F. Bertoglio,LM,69,1000000
6435,D. Post,CDM,69,875000
6436,M. Kieftenbeld,CDM,69,900000
6441,B. Bodin,RM,69,1100000
6443,M. Cañete,CAM,69,1000000
6445,B. Corgnet,CAM,69,825000
6446,J. Ankersen,LM,69,1100000
6448,V. Klonaridis,RM,69,1100000
6449,D. Petratos,RM,69,1100000
6451,J. Meram,LM,69,1000000
6452,Kim Ho Nam,RM,69,1000000
6453,R. Towell,CM,69,1100000
6456,S. Ameobi,RM,69,1100000
6457,Q. Martinus,RM,69,1100000
6458,G. Maluleka,CM,69,975000
6463,C. Tainmont,LM,69,650000
6468,G. Mackay-Steven,RM,69,1100000
6469,E. Akichi,CDM,69,900000
6474,M. Nyatama,CM,69,900000
6477,Ko Kwang Min,LM,69,1000000
6480,B. Carrasco,RM,69,1100000
6481,E. Finlay,RM,69,1100000
6483,S. Branca,CM,69,1100000
6484,M. Eriksson,CAM,69,1000000
6485,J. Gastien,CDM,69,800000
6487,J. Adéoti,CDM,69,875000
6489,J. Palomino,CDM,69,875000
6490,Nono,LM,69,1100000
6492,R. Leipertz,RM,69,1100000
6498,P. Forsell,CAM,69,1100000
6499,J. Cabezas,CDM,69,925000
6500,F. Burbano,LM,69,1100000
6502,L. Narváez,CDM,69,400000
6503,F. Flores,LM,69,825000
6504,I. Rivas,CM,69,900000
6509,J. Muñoz,LM,69,925000
6513,M. Mier,LM,69,1100000
6520,Y. Mejía,CAM,69,1100000
6522,C. Auzqui,RM,69,1100000
6524,Maikel Mesa,CAM,69,1100000
6527,D. Miloc,CM,69,1000000
6528,E. Méndez,CDM,69,875000
6531,Wu Xi,CM,69,975000
6533,Y. Kashiwagi,CM,69,900000
6534,R. Carrera,RM,69,1100000
6535,L. Manyama,CAM,69,1100000
6536,D. Hernández,CAM,69,1100000
6538,M. Maleš,CDM,69,875000
6541,E. Oztumer,CAM,69,1100000
6544,K. Vandendriessche,CM,69,1000000
6545,M. Benítez,CM,69,1000000
6547,M. Çelik,CAM,69,1000000
6552,Luís Aurélio,CM,69,975000
6554,Querol,RM,69,1000000
6556,H. Yamada,CAM,69,1000000
6557,D. Bohar,LM,69,1100000
6560,A. Figuera,CDM,69,0
6563,E. Rolland,CM,69,975000
6564,D. Popovič,CM,69,1000000
6571,Alson Botelho,CDM,69,800000
6572,Antonaldo Laforte,CAM,69,1100000
6579,Roldão Riso,CDM,69,975000
6580,Sandro Maceira,CAM,69,1100000
6587,M. Fall,RM,69,1100000
6588,Caio Tafarell,CDM,69,975000
6589,Sandeiro Leal,CAM,69,925000
6594,Ramón Folch,CM,69,1000000
6595,L. Mora,CM,69,900000
6596,Paulo Daineiro,CAM,69,450000
6597,Ever Sineiro,CAM,69,925000
6598,Renato Rochela,CAM,69,1100000
6600,S. Hanca,RM,69,1100000
6601,P. Türpitz,CAM,69,1100000
6607,A. Settembrini,CM,69,1100000
6612,Z. Udovičić,LM,69,925000
6614,K. Pröger,RM,69,1100000
6615,Z. Hadraf,LM,69,1100000
6619,J. Daoudi,CDM,69,875000
6622,A. Gomes,CAM,68,1800000
6624,M. Ihattaren,CAM,68,1800000
6625,Sergio Gómez,CAM,68,1800000
6627,M. Pellegrini,LM,68,1900000
6635,N. Okafor,RM,68,1900000
6636,C. Willock,LM,68,2000000
6637,R. McCrorie,CDM,68,1900000
6638,B. Woodburn,CAM,68,1900000
6643,G. Diangana,RM,68,2000000
6646,C. Kouan,CM,68,1900000
6648,Alberto Soro,RM,68,2000000
6651,K. Michael,CM,68,1900000
6653,N. Dalmonte,LM,68,1700000
6654,S. Lauper,CDM,68,1600000
6657,M. Johnston,LM,68,1700000
6658,E. Zhegrova,RM,68,1700000
6661,F. Moyano,CM,68,1700000
6662,Valery,LM,68,1700000
6663,Gustavo Assunção,CDM,68,1600000
6665,A. Green,LM,68,1600000
6669,D. Sinik,LM,68,1600000
6670,J. Brunetta,LM,68,1600000
6672,I. Voca,CDM,68,1500000
6673,R. Harper,CM,68,1500000
6675,D. Frattesi,CM,68,1500000
6677,Gonzalo Villar,CM,68,1600000
6684,J. Torres,RM,68,1500000
6685,M. Lovera,CAM,68,1500000
6696,G. Gaudino,CM,68,1400000
6697,S. Hakšabanovič,CAM,68,1500000
6703,Y. Herrera,CM,68,1400000
6704,A. Androutsos,CAM,68,1400000
6708,L. Verstraete,CM,68,1400000
6709,D. Suga,LM,68,1500000
6713,M. Pessina,CM,68,1400000
6714,Tete Morente,LM,68,1400000
6716,E. Sabbi,RM,68,1500000
6719,De Frutos,RM,68,1400000
6721,Berto Cayarga,LM,68,1400000
6726,C. Mahoney,RM,68,1400000
6727,L. Valzania,CM,68,1400000
6729,P. Dziczek,CDM,68,1300000
6730,T. Cantwell,LM,68,1400000
6732,D. Valoyes,LM,68,1400000
6733,R. Curtis,LM,68,1400000
6734,V. Sierro,CM,68,1400000
6735,V. Marchetti,CM,68,1400000
6738,A. Grgić,CM,68,1400000
6742,A. Kalulu,RM,68,1400000
6743,L. Coulibaly,CM,68,1400000
6744,José Machín,CM,68,1400000
6747,Jaílson,CDM,68,1300000
6748,T. Vlietinck,RM,68,1400000
6749,D. Irandust,CAM,68,1400000
6750,C. Paredes,CDM,68,1300000
6753,L. Fiordilino,CM,68,1400000
6755,N. Moreno,RM,68,1400000
6756,T. Itō,LM,68,1400000
6761,L. Krejčí,CDM,68,1300000
6765,R. Brown,CAM,68,1300000
6768,C. Cadden,RM,68,1300000
6771,Raúl Guti,CM,68,1300000
6772,R. Manning,CM,68,1300000
6776,A. Engin,RM,68,1300000
6777,Y. Yeboah,RM,68,1300000
6778,Jaquité,CDM,68,1200000
6779,B. Rivero,CDM,68,1200000
6780,K. Salazar,CAM,68,1300000
6782,K. Endo,LM,68,1300000
